"Edgar Lindenau Aabye","DEN","M"
"Arvo Ossian Aaltonen","FIN","M"
"Juhamatti Tapio Aaltonen","FIN","M"
"Paavo Johannes Aaltonen","FIN","M"
"Kjetil Andr Aamodt","NOR","M"
"Ragnhild Margrethe Aamodt","NOR","F"
"Alf Lied Aanning","NOR","M"
"Willemien Aardenburg","NED","F"
"Pepijn Aardewijn","NED","M"
"Ann Kristin Aarnes","NOR","F"
"Karl Jan Aas","NOR","M"
"Roald Edgar Aas","NOR","M"
"Thomas Valentin Aas","NOR","M"
"Ren Abadie","FRA","M"
"Giovanni Abagnale","ITA","M"
"Jos Luis Abajo Gmez","ESP","M"
"Patimat Abakarova","AZE","F"
"Mariya Vasilyevna Abakumova ","RUS","F"
"Aleksey Aleksandrovich Abalmasov","BLR","M"
"Luc Abalo","FRA","M"
"Jouan Patrice Abanda Etong","CMR","M"
"Jos Mara Abarca Plotas","ESP","M"
"Stephen Anthony Abas","USA","M"
"Alejandro Abascal Garca","ESP","M"
"Jos Manuel Abascal Gmez","ESP","M"
"Tamila Rashidovna Abasova","RUS","F"
"Jol Marc Abati","FRA","M"
"Pter Abay","HUN","M"
"Oszkr Abay-Nemes","HUN","M"
"Silvano Abba","ITA","M"
"Agostino Abbagnale","ITA","M"
"Carmine Abbagnale","ITA","M"
"Giuseppe Abbagnale","ITA","M"
"George 'Ioannis' Abbot","GRE","M"
"Desmond 'Des' Abbott","AUS","M"
"Jeremy Abbott","USA","M"
"Margaret Ives Abbott ","USA","F"
"Monica Cecilia Abbott","USA","F"
"Nia Nicole Abdallah","USA","F"
"Saeid Morad Abdevali","IRI","M"
"Reema Abdo","CAN","F"
"Lala Abdul Rashid","PAK","M"
"Muhammad Abdul Rashid","PAK","M"
"Zagalav Abdulbekovich Abdulbekov","URS","M"
"Mukhammad Kadyr Abdullayev","UZB","M"
"Namiq Yadulla Abdullayev","AZE","M"
"Julius Shareef Abdur-Rahim","USA","M"
"Yusup Abdusalomov","TJK","M"
"Andrey Khakimovich Abduvaliyev","EUN","M"
"Masashi Abe","JPN","M"
"Addis Abebe","ETH","M"
"Max 'Xam' Abegglen","SUI","M"
"Clarence John Abel","USA","M"
"George Gordon Abel","CAN","M"
"Irene Abel","GDR","F"
"Jennifer Abel","CAN","F"
"Egil Sten Abel","NOR","M"
"Abelardo Fernndez Antua","ESP","M"
"Louis Grenville 'Lou' Abell","USA","M"
"Gezahgne Abera","ETH","M"
"Nils Georg berg","SWE","M"
"Michael Brent Abernathy","USA","M"
"Moira Abernethy ","RSA","F"
"Elvan Abeylegesse","TUR","F"
"Ismail Abilov ","BUL","M"
"Edgar Allen 'Ed' Ablowich","USA","M"
"Denis Mikhaylovich Ablyazin","RUS","M"
"Viktor Andreyevich Aboimov","URS","M"
"Matthew 'Matt' Abood","AUS","M"
"Alaaeldin Ahmad El-Sayyid Abouelkassem","EGY","M"
"Attila brahm","HUN","M"
"Gary Abraham","GBR","M"
"Ara Abrahamian","SWE","M"
"Harold Maurice Abrahams","GBR","M"
"Isak Abrahamsen","NOR","M"
"Erik Adolf Efraim Abrahamsson","SWE","M"
"Karl Gustaf Emanuel Abrahamsson","SWE","M"
"Pavel Sergeyevich Abramov","RUS","M"
"Nelli Mikhaylovna Abramova","URS","F"
"Yekaterina Konstantinovna Abramova","RUS","F"
"Alejandro 'lex' Abrines Redondo","ESP","M"
"Svetlana Olegovna Abrosimova","RUS","F"
"Saypulla Atavovich Absaidov","URS","M"
"Julien Absalon","FRA","M"
"Ahmad Abughaush","JOR","M"
"Ginko Abukawa-Chiba","JPN","F"
"Aleksandr Veniaminovich Abushakhmetov","URS","M"
"Magomedgasan Mingazhutdinovich Abushev","URS","M"
"Andreea Roxana Acatrinei","ROU","F"
"William Accambray","FRA","M"
"Paul Accola","SUI","M"
"Domingo Gmez-Acedo Villanueva","ESP","M"
"Anibl Santiago Acevedo","PUR","M"
"Daniel Aceves Villagrn","MEX","M"
"Joachim Yaw Acheampong","GHA","M"
"Alfred Achermann","SUI","M"
"Abdel Hak Achik","MAR","M"
"Mohamed Abdelhak Achik","MAR","M"
"Rita Nikolayevna Achkina","URS","F"
"Chantal Achterberg","NED","F"
"Fausto Alesio Acke ","SWE","M"
"Paul Douglas Ackerley","NZL","M"
"Charles Edwin 'Charley' Ackerly","USA","M"
"Ronny Ackermann","GER","M"
"Donat Acklin","SUI","M"
"Guido Acklin","SUI","M"
"Lautaro Germn Acosta","ARG","M"
