"Tug-Of-War","Tug-Of-War Men's Tug-Of-War"
"Swimming","Swimming Men's 200 metres Breaststroke"
"Swimming","Swimming Men's 400 metres Breaststroke"
"Ice Hockey","Ice Hockey Men's Ice Hockey"
"Gymnastics","Gymnastics Men's Individual All-Around"
"Gymnastics","Gymnastics Men's Team All-Around"
"Gymnastics","Gymnastics Men's Horse Vault"
"Gymnastics","Gymnastics Men's Pommelled Horse"
"Alpine Skiing","Alpine Skiing Men's Super G"
"Alpine Skiing","Alpine Skiing Men's Giant Slalom"
"Alpine Skiing","Alpine Skiing Men's Downhill"
"Alpine Skiing","Alpine Skiing Men's Combined"
"Handball","Handball Women's Handball"
"Gymnastics","Gymnastics Men's Team All-Around Free System"
"Hockey","Hockey Women's Hockey"
"Rowing","Rowing Men's Lightweight Double Sculls"
"Football","Football Women's Football"
"Speed Skating","Speed Skating Men's 1500 metres"
"Sailing","Sailing Mixed 8 metres"
"Cycling","Cycling Men's Road Race Team"
"Rowing","Rowing Men's Coxless Pairs"
"Fencing","Fencing Men's epee Individual"
"Taekwondo","Taekwondo Women's Flyweight"
"Athletics","Athletics Women's Javelin Throw"
"Canoeing","Canoeing Men's Kayak Fours 1000 metres"
"Handball","Handball Men's Handball"
"Football","Football Men's Football"
"Water Polo","Water Polo Men's Water Polo"
"Wrestling","Wrestling Men's Featherweight Freestyle"
"Sailing","Sailing Mixed Two Person Heavyweight Dinghy"
"Athletics","Athletics Men's 1500 metres"
"Cycling","Cycling Women's Sprint"
"Fencing","Fencing Men's Sabre Team"
"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
"Modern Pentathlon","Modern Pentathlon Men's Individual"
"Rowing","Rowing Men's Quadruple Sculls"
"Rowing","Rowing Men's Double Sculls"
"Rowing","Rowing Men's Coxed Pairs"
"Hockey","Hockey Men's Hockey"
"Figure Skating","Figure Skating Mixed Team"
"Golf","Golf Women's Individual"
"Softball","Softball Women's Softball"
"Taekwondo","Taekwondo Women's Featherweight"
"Wrestling","Wrestling Men's Middleweight Greco-Roman"
"Swimming","Swimming Women's 4 x 100 metres Medley Relay"
"Boxing","Boxing Men's Light-Welterweight"
"Wrestling","Wrestling Men's Flyweight Freestyle"
"Wrestling","Wrestling Men's Bantamweight Freestyle"
"Basketball","Basketball Men's Basketball"
"Wrestling","Wrestling Men's Light-Heavyweight Freestyle"
"Athletics","Athletics Men's Hammer Throw"
"Nordic Combined","Nordic Combined Men's Team"
"Athletics","Athletics Men's 10000 metres"
"Gymnastics","Gymnastics Women's Team All-Around"
"Diving","Diving Women's Synchronized Springboard"
"Sailing","Sailing Mixed 7 metres"
"Rowing","Rowing Men's Coxed Eights"
"Athletics","Athletics Men's Marathon"
"Athletics","Athletics Men's Long Jump"
"Athletics","Athletics Men's Triple Jump"
"Baseball","Baseball Men's Baseball"
"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay"
"Athletics","Athletics Women's 5000 metres"
"Wrestling","Wrestling Men's Middleweight Freestyle"
"Athletics","Athletics Men's 4 x 400 metres Relay"
"Gymnastics","Gymnastics Men's Floor Exercise"
"Gymnastics","Gymnastics Men's Rings"
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
"Fencing","Fencing Men's Foil Individual"
"Canoeing","Canoeing Men's Kayak Doubles 500 metres"
"Swimming","Swimming Men's 4 x 100 metres Medley Relay"
"Wrestling","Wrestling Men's Light-Heavyweight Greco-Roman"
"Athletics","Athletics Men's 100 metres"
"Athletics","Athletics Men's 4 x 100 metres Relay"
"Volleyball","Volleyball Men's Volleyball"
"Volleyball","Volleyball Women's Volleyball"
"Speed Skating","Speed Skating Women's Team Pursuit (6 laps)"
"Basketball","Basketball Women's Basketball"
"Wrestling","Wrestling Men's Lightweight Freestyle"
"Cycling","Cycling Men's Mountainbike Cross-Country"
"Taekwondo","Taekwondo Men's Featherweight"
"Fencing","Fencing Men's epee Team"
"Boxing","Boxing Men's Welterweight"
"Wrestling","Wrestling Men's Flyweight Greco-Roman"
"Cycling","Cycling Men's 100 kilometres Team Time Trial"
"Boxing","Boxing Men's Featherweight"
"Boxing","Boxing Men's Bantamweight"
"Cross Country Skiing","Cross Country Skiing Women's 3 x 5 kilometres Relay"
"Rowing","Rowing Women's Coxed Eights"
"Rowing","Rowing Women's Quadruple Sculls"
"Gymnastics","Gymnastics Men's Team All-Around Swedish System"
"Nordic Combined","Nordic Combined Men's Sprint"
"Bobsleigh","Bobsleigh Men's Two"
"Bobsleigh","Bobsleigh Men's Four"
"Boxing","Boxing Men's Heavyweight"
"Boxing","Boxing Men's Lightweight"
"Modern Pentathlon","Modern Pentathlon Men's Team"
"Curling","Curling Men's Curling"
"Fencing","Fencing Men's Foil Team"
"Cycling","Cycling Men's Team Pursuit 4000 metres"
"Athletics","Athletics Men's Standing High Jump"
"Athletics","Athletics Men's Standing Long Jump"
"Swimming","Swimming Men's Plunge For Distance"
"Shooting","Shooting Men's Military Rifle 200 400 500 and 600 metres Team"
"Judo","Judo Men's Lightweight"
"Judo","Judo Men's Half-Middleweight"
"Boxing","Boxing Women's Flyweight"
"Curling","Curling Women's Curling"
"Athletics","Athletics Women's Shot Put"
"Shooting","Shooting Men's Military Rifle 300 metres and 600 metres Prone Team"
"Canoeing","Canoeing Men's Canadian Doubles Slalom"
"Athletics","Athletics Men's 400 metres Hurdles"
"Sailing","Sailing Mixed Three Person Keelboat"
"Equestrianism","Equestrianism Men's Dressage Team"
"Equestrianism","Equestrianism Men's Three-Day Event Team"
"Tennis","Tennis Women's Singles Covered Courts"
"Diving","Diving Men's Platform"
"Diving","Diving Men's Plain High"
"Swimming","Swimming Women's 400 metres Freestyle"
"Swimming","Swimming Women's 800 metres Freestyle"
"Swimming","Swimming Men's 100 metres Freestyle"
"Swimming","Swimming Men's 50 metres Freestyle"
"Athletics","Athletics Women's 4 x 400 metres Relay"
"Rowing","Rowing Women's Coxed Quadruple Sculls"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Gymnastics","Gymnastics Women's Horse Vault"
"Rowing","Rowing Men's Coxless Fours"
"Tennis","Tennis Men's Singles"
"Judo","Judo Women's Half-Middleweight"
"Sailing","Sailing Mixed 6 metres"
"Swimming","Swimming Men's 200 metres Freestyle"
"Ice Hockey","Ice Hockey Women's Ice Hockey"
"Figure Skating","Figure Skating Mixed Ice Dancing"
"Fencing","Fencing Women's Foil Team"
"Rowing","Rowing Men's 17-Man Naval Rowing Boats"
"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group"
"Weightlifting","Weightlifting Women's Flyweight"
"Wrestling","Wrestling Men's Bantamweight Greco-Roman"
"Wrestling","Wrestling Men's Middleweight B Greco-Roman"
"Equestrianism","Equestrianism Mixed Jumping Team"
"Badminton","Badminton Mixed Doubles"
"Beach Volleyball","Beach Volleyball Men's Beach Volleyball"
"Swimming","Swimming Women's 100 metres Butterfly"
"Ski Jumping","Ski Jumping Men's Large Hill Team"
"Water Polo","Water Polo Women's Water Polo"
"Weightlifting","Weightlifting Men's Heavyweight"
"Canoeing","Canoeing Men's Kayak Singles Slalom"
"Sailing","Sailing Mixed One Person Dinghy"
"Sailing","Sailing Men's One Person Dinghy"
"Sailing","Sailing Men's One Person Heavyweight Dinghy"
"Sailing","Sailing Mixed 5.5 metres"
"Tennis","Tennis Mixed Doubles Covered Courts"
"Cycling","Cycling Men's Madison"
"Rugby","Rugby Men's Rugby"
"Shooting","Shooting Men's Small-Bore Rifle Prone 50 metres"
"Athletics","Athletics Women's Long Jump"
"Short Track Speed Skating","Short Track Speed Skating Men's 5000 metres Relay"
"Canoeing","Canoeing Men's Kayak Doubles 10000 metres"
"Wrestling","Wrestling Men's Super-Heavyweight Freestyle"
"Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay"
"Biathlon","Biathlon Women's 10 kilometres Pursuit"
"Biathlon","Biathlon Women's 15 kilometres"
"Biathlon","Biathlon Women's 4 x 6 kilometres Relay"
"Wrestling","Wrestling Men's Heavyweight Freestyle"
"Athletics","Athletics Women's 4 x 100 metres Relay"
"Weightlifting","Weightlifting Men's Middle-Heavyweight"
"Weightlifting","Weightlifting Men's Heavyweight II"
"Fencing","Fencing Women's Sabre Team"
"Sailing","Sailing Mixed Two Person Keelboat"
"Shooting","Shooting Men's Skeet"
"Shooting","Shooting Men's Double Trap"
"Shooting","Shooting Men's Trap"
"Equestrianism","Equestrianism Mixed Jumping Individual"
"Sailing","Sailing Women's Windsurfer"
"Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay"
